TOP.5fa426d3.0004a3ec	START
TOP.5fa44bd1.000cefe1	SUB.5fa44bd2.0002e5dd	START
TOP.5fa44bd1.000cefe1	SUB.5fa44bd2.0002e5dd	straight_ctx->dict	C:\Users\Nicolas\Desktop\diccionarios\diccionario_1.txt
TOP.5fa44bd1.000cefe1	SUB.5fa44bd2.0002e5dd	runtime_start	1604602834
TOP.5fa44bd1.000cefe1	SUB.5fa44bd2.0002e5dd	runtime_stop	1604602835
TOP.5fa44bd1.000cefe1	SUB.5fa44bd2.0002e5dd	status-after-work	5
TOP.5fa44bd1.000cefe1	SUB.5fa44bd2.0002e5dd	STOP
TOP.5fa44bd1.000cefe1	proc_start	1604602833
TOP.5fa44bd1.000cefe1	proc_stop	1604602836
TOP.5fa44bd1.000cefe1	STOP
TOP.5fa5e014.0008763d	START
TOP.5fa5e014.0008763d	folder_config->cwd	C:\Users\Nicolas\Desktop\Development\Tarea4Cripto\hashcat
TOP.5fa5e014.0008763d	folder_config->install_dir	.
TOP.5fa5e014.0008763d	folder_config->profile_dir	.
TOP.5fa5e014.0008763d	folder_config->session_dir	.
TOP.5fa5e014.0008763d	folder_config->shared_dir	.
TOP.5fa5e014.0008763d	user_options->separator	:
TOP.5fa5e014.0008763d	user_options->encoding_from	utf-8
TOP.5fa5e014.0008763d	user_options->encoding_to	utf-8
TOP.5fa5e014.0008763d	user_options->outfile	resultados.txt
TOP.5fa5e014.0008763d	user_options->rule_buf_l	:
TOP.5fa5e014.0008763d	user_options->rule_buf_r	:
TOP.5fa5e014.0008763d	user_options->session	hashcat
TOP.5fa5e014.0008763d	user_options->limit	0
TOP.5fa5e014.0008763d	user_options->skip	0
TOP.5fa5e014.0008763d	user_options->attack_mode	0
TOP.5fa5e014.0008763d	user_options->benchmark	0
TOP.5fa5e014.0008763d	user_options->benchmark_all	0
TOP.5fa5e014.0008763d	user_options->bitmap_max	18
TOP.5fa5e014.0008763d	user_options->bitmap_min	16
TOP.5fa5e014.0008763d	user_options->debug_mode	0
TOP.5fa5e014.0008763d	user_options->example_hashes	0
TOP.5fa5e014.0008763d	user_options->force	1
TOP.5fa5e014.0008763d	user_options->hwmon_disable	0
TOP.5fa5e014.0008763d	user_options->hwmon_temp_abort	90
TOP.5fa5e014.0008763d	user_options->hash_mode	0
TOP.5fa5e014.0008763d	user_options->hex_charset	0
TOP.5fa5e014.0008763d	user_options->hex_salt	0
TOP.5fa5e014.0008763d	user_options->hex_wordlist	0
TOP.5fa5e014.0008763d	user_options->hook_threads	8
